"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Bertelmanpleinbuurt";"Amsterdam";"Buurt";"BU03634800";"3";"1090";"490";"595";"90";"145";"350";"310";"200";"670";"240";"145";"45";"165";"340";"120";"15";"75";"55";"80";".";".";".";".";"665";"405";"145";"130";"1.6";"20067";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"6912"
"Marathonbuurt Oost";"Amsterdam";"Buurt";"BU03634801";"3";"1480";"710";"770";"160";"185";"445";"435";"265";"930";"305";"200";"55";"255";"320";"70";"15";"80";"30";"125";".";".";".";".";"905";"540";"180";"190";"1.6";"9935";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"15";"1";".";".";"1";"6636"
"Marathonbuurt West";"Amsterdam";"Buurt";"BU03634802";"3";"2420";"1165";"1255";"265";"240";"860";"695";"370";"1600";"410";"350";"70";"400";"785";"210";"40";"200";"70";"270";".";".";".";".";"1545";"995";"245";"310";"1.6";"20524";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"12";"0";".";".";"1";"5145"
"Olympisch Stadion e.o.";"Amsterdam";"Buurt";"BU03634803";"3";"2160";"1020";"1135";"445";"165";"875";"390";"290";"1350";"565";"185";"65";"545";"475";"110";"25";"105";"30";"210";".";".";".";".";"1070";"480";"250";"350";"2.0";"10319";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"21";"2";".";".";"1";"5021"
"IJsbaanpad e.o.";"Amsterdam";"Buurt";"BU03634804";"3";"370";"180";"190";"90";"30";"85";"125";"50";"235";"110";"25";"10";"60";"15";"0";"5";"0";"0";"10";".";".";".";".";"160";"60";"35";"70";"2.3";"1649";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"30";"23";"7";".";".";"2";"1896"
"Van Tuyllbuurt";"Amsterdam";"Buurt";"BU03634805";"3";"4100";"1870";"2230";"470";"430";"1885";"820";"500";"2790";"875";"330";"115";"815";"585";"70";"45";"100";"65";"310";".";".";".";".";"2475";"1375";"645";"465";"1.7";"20566";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"20";"1";".";".";"1";"4487"
"Apollobuurt";"Amsterdam";"Wijk";"WK036349";"3";"8750";"4145";"4605";"1770";"905";"2375";"2185";"1525";"4680";"3195";"570";"320";"2590";"790";"20";"60";"95";"50";"570";".";".";".";".";"4240";"1950";"965";"1330";"2.1";"9903";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"94";"88";"6";".";".";"1";"5446"
"Diepenbrockbuurt";"Amsterdam";"Buurt";"BU03634900";"3";"780";"355";"420";"160";"90";"180";"210";"145";"405";"320";"35";"30";"170";"75";"0";"5";"10";"5";"60";".";".";".";".";"330";"130";"80";"125";"2.3";"4057";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"19";"3";".";".";"1";"5224"
"Beethovenbuurt";"Amsterdam";"Buurt";"BU03634901";"3";"1260";"605";"650";"255";"145";"315";"315";"240";"630";"480";"85";"75";"385";"120";"5";"10";"15";"15";"80";".";".";".";".";"595";"280";"125";"195";"2.1";"8643";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"15";"1";".";".";"1";"6210"
"Hiltonbuurt";"Amsterdam";"Buurt";"BU03634902";"3";"80";"40";"40";"20";"10";"10";"35";"10";"45";"30";"10";"5";"15";"5";"0";"0";"0";"0";"5";".";".";".";".";"30";"15";"10";"15";"2.6";"848";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"2";".";".";"1";"5923"
"Minervabuurt Noord";"Amsterdam";"Buurt";"BU03634903";"3";"1435";"695";"735";"300";"155";"360";"380";"245";"770";"530";"95";"45";"415";"135";"0";"10";"15";"10";"100";".";".";".";".";"665";"290";"155";"230";"2.1";"9963";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"14";"0";".";".";"1";"5873"
"Minervabuurt Midden";"Amsterdam";"Buurt";"BU03634904";"3";"2485";"1165";"1320";"505";"280";"645";"645";"420";"1315";"915";"175";"90";"810";"230";"10";"15";"20";"15";"175";".";".";".";".";"1230";"585";"270";"385";"2.0";"16544";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"15";"0";".";".";"1";"5580"
"Minervabuurt Zuid";"Amsterdam";"Buurt";"BU03634905";"3";"2705";"1270";"1430";"535";"230";"870";"610";"470";"1520";"930";"180";"85";"795";"235";"5";"25";"30";"15";"160";".";".";".";".";"1380";"665";"335";"390";"2.0";"17529";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"15";"1";".";".";"1";"4791"
"IJburg Oost";"Amsterdam";"Wijk";"WK036350";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"27";"0";".";".";"4";"809"
"Strandeiland";"Amsterdam";"Buurt";"BU03635000";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"2";"0";".";".";".";"."
"Middeneiland Zuidoost";"Amsterdam";"Buurt";"BU03635001";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0";"0";"0";".";".";".";"."
"Middeneiland Zuidwest";"Amsterdam";"Buurt";"BU03635003";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"6";"0";".";".";".";"."
"Buiteneiland";"Amsterdam";"Buurt";"BU03635005";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"4";"4";"0";".";".";".";"."
"Centrumeiland";"Amsterdam";"Buurt";"BU03635006";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"15";"0";".";".";"4";"809"
"IJburg Zuid";"Amsterdam";"Wijk";"WK036351";"3";"7000";"3355";"3645";"2190";"625";"2700";"1255";"240";"4680";"1830";"445";"55";"1020";"2745";"795";"85";"645";"330";"890";".";".";".";".";"2730";"910";"425";"1405";"2.6";"10563";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"73";"66";"6";".";".";"3";"1347"
"Rieteiland Oost";"Amsterdam";"Buurt";"BU03635100";"3";"125";"60";"65";"45";"10";"25";"50";"5";"80";"45";"5";"0";"15";"10";"0";"0";"0";"0";"10";".";".";".";".";"35";"5";"10";"35";"3.3";"1232";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"10";"0";".";".";"3";"1219"
"Haveneiland Oost";"Amsterdam";"Buurt";"BU03635101";"3";"5100";"2480";"2620";"1690";"425";"1950";"910";"135";"3425";"1355";"300";"30";"765";"1805";"530";"55";"385";"220";"620";".";".";".";".";"1905";"580";"290";"1040";"2.7";"11479";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"49";"44";"4";".";".";"3";"1213"
"Haveneiland Noord";"Amsterdam";"Buurt";"BU03635102";"3";"1770";"810";"960";"460";"185";"730";"295";"105";"1175";"435";"140";"25";"240";"930";"270";"30";"260";"110";"265";".";".";".";".";"785";"330";"130";"335";"2.3";"15478";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"11";"2";".";".";"2";"1643"
"Scheldebuurt";"Amsterdam";"Wijk";"WK036352";"3";"14745";"6800";"7940";"2125";"1710";"5805";"3020";"2095";"9845";"3225";"1165";"520";"2930";"1560";"230";"105";"320";"105";"805";".";".";".";".";"8355";"4630";"1910";"1825";"1.7";"14909";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"101";"99";"2";".";".";"1";"7189"
"Wielingenbuurt";"Amsterdam";"Buurt";"BU03635200";"3";"3065";"1380";"1685";"485";"350";"1185";"685";"365";"2015";"760";"230";"70";"670";"265";"20";"20";"45";"25";"160";".";".";".";".";"1675";"860";"415";"410";"1.8";"21974";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"14";"1";".";".";"1";"7383"
"Scheldebuurt West";"Amsterdam";"Buurt";"BU03635201";"3";"4390";"2040";"2345";"610";"560";"1670";"925";"635";"2930";"960";"360";"150";"835";"480";"75";"25";"110";"35";"240";".";".";".";".";"2530";"1385";"585";"565";"1.7";"17460";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"25";"0";".";".";"1";"7044"
"Scheldebuurt Midden";"Amsterdam";"Buurt";"BU03635202";"3";"3315";"1525";"1785";"510";"445";"1340";"620";"400";"2265";"765";"215";"75";"655";"300";"50";"25";"50";"15";"165";".";".";".";".";"1840";"985";"440";"420";"1.8";"20697";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"16";"0";".";".";"1";"8322"
"Scheldebuurt Oost";"Amsterdam";"Buurt";"BU03635203";"3";"2360";"1095";"1265";"330";"295";"985";"485";"280";"1620";"490";"185";"70";"485";"265";"40";"20";"45";"20";"145";".";".";".";".";"1385";"800";"305";"290";"1.7";"16811";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"14";"0";".";".";"1";"7955"
"Veluwebuurt";"Amsterdam";"Buurt";"BU03635206";"3";"1510";"700";"805";"175";"60";"580";"295";"405";"955";"230";"170";"160";"255";"240";"45";"15";"75";"10";"95";".";".";".";".";"865";"575";"160";"135";"1.5";"11546";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"13";"0";".";".";"1";"4926"
"Kop Zuidas";"Amsterdam";"Buurt";"BU03635207";"3";"95";"45";"45";"20";"5";"50";"15";"10";"65";"25";"5";"5";"35";"15";"5";"0";"0";"0";"10";".";".";".";".";"55";"30";"15";"15";"1.8";"583";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"17";"0";".";".";"1";"4461"
"IJselbuurt";"Amsterdam";"Wijk";"WK036353";"3";"5355";"2580";"2770";"600";"695";"2190";"1240";"640";"3745";"970";"530";"120";"1060";"1060";"280";"70";"235";"130";"350";".";".";".";".";"3315";"2000";"710";"615";"1.6";"20903";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"26";"4";".";".";"1";"9298"
"IJselbuurt West";"Amsterdam";"Buurt";"BU03635300";"3";"2360";"1140";"1220";"230";"240";"1020";"570";"305";"1680";"375";"255";"55";"440";"430";"100";"35";"105";"45";"145";".";".";".";".";"1545";"990";"315";"250";"1.5";"19103";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"12";"1";".";".";"1";"9674"
"IJselbuurt Oost";"Amsterdam";"Buurt";"BU03635301";"3";"2995";"1440";"1550";"370";"455";"1170";"670";"335";"2065";"595";"275";"65";"620";"635";"185";"35";"130";"85";"205";".";".";".";".";"1770";"1015";"395";"370";"1.7";"22581";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"13";"3";".";".";"1";"8933"
"Rijnbuurt";"Amsterdam";"Wijk";"WK036354";"3";"9125";"4235";"4885";"985";"1155";"3670";"2070";"1245";"6345";"1590";"945";"250";"1605";"1685";"375";"100";"375";"120";"720";".";".";".";".";"5805";"3615";"1215";"990";"1.6";"9455";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"110";"97";"14";".";".";"1";"5712"
"Kromme Mijdrechtbuurt";"Amsterdam";"Buurt";"BU03635400";"3";"2535";"1170";"1360";"270";"325";"1020";"595";"330";"1795";"415";"265";"70";"445";"515";"120";"30";"105";"45";"225";".";".";".";".";"1655";"1075";"320";"270";"1.5";"15208";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"17";"2";".";".";"1";"7279"
"Rijnbuurt Oost";"Amsterdam";"Buurt";"BU03635401";"3";"2735";"1270";"1460";"300";"385";"1190";"560";"310";"1955";"470";"245";"75";"490";"380";"65";"35";"90";"30";"165";".";".";".";".";"1685";"990";"405";"295";"1.6";"14306";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"19";"4";".";".";"1";"5309"
"Rijnbuurt Midden";"Amsterdam";"Buurt";"BU03635402";"3";"2160";"980";"1175";"205";"300";"940";"445";"275";"1540";"415";"160";"50";"400";"250";"45";"10";"55";"20";"125";".";".";".";".";"1370";"820";"355";"205";"1.6";"8361";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"26";"3";".";".";"1";"4915"
"Rijnbuurt West";"Amsterdam";"Buurt";"BU03635403";"3";"1640";"780";"860";"200";"145";"515";"460";"330";"1040";"280";"270";"60";"265";"540";"150";"30";"130";"30";"205";".";".";".";".";"1070";"725";"135";"215";"1.5";"20709";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"5029"
"Zorgvlied";"Amsterdam";"Buurt";"BU03635404";"3";"45";"25";"20";"10";"5";"10";"15";"10";"25";"20";"10";"5";"10";"5";"0";"0";"0";"0";"5";".";".";".";".";"20";"15";"5";"10";"2.0";"171";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"27";"5";".";".";"1";"2630"
"Frankendael";"Amsterdam";"Wijk";"WK036355";"3";"10990";"5450";"5535";"1360";"1805";"3740";"2505";"1590";"7290";"2350";"945";"410";"1810";"2690";"750";"140";"620";"215";"965";".";".";".";".";"6515";"3935";"1335";"1250";"1.6";"6947";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"167";"158";"9";".";".";"1";"5059"
"De Eenhoorn";"Amsterdam";"Buurt";"BU03635501";"3";"2365";"1235";"1130";"130";"875";"1110";"205";"60";"2085";"180";"105";"10";"580";"625";"120";"40";"120";"35";"315";".";".";".";".";"1860";"1455";"300";"110";"1.3";"13516";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"18";"0";".";".";"1";"6392"
"Julianapark";"Amsterdam";"Buurt";"BU03635502";"3";"820";"410";"405";"105";"60";"340";"215";"105";"505";"235";"60";"30";"165";"110";"5";"5";"35";"25";"45";".";".";".";".";"440";"200";"150";"95";"1.9";"4444";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"19";"18";"1";".";".";"1";"5170"
"Don Bosco";"Amsterdam";"Buurt";"BU03635503";"3";"2090";"1020";"1065";"365";"230";"725";"535";"240";"1365";"550";"130";"50";"325";"400";"160";"25";"70";"20";"130";".";".";".";".";"1035";"470";"255";"320";"2.0";"13302";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"16";"1";".";".";"1";"6948"
"Frankendael";"Amsterdam";"Buurt";"BU03635504";"3";"15";"5";"5";"0";"5";"5";"10";"0";"10";"10";"0";"5";"0";"5";"0";"0";"0";"0";"5";".";".";".";".";"5";"5";"5";"5";"1.7";"61";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"25";"5";".";".";"1";"5697"
"Tuindorp Amstelstation";"Amsterdam";"Buurt";"BU03635505";"3";"810";"375";"435";"80";"90";"185";"270";"195";"435";"200";"140";"50";"95";"290";"90";"15";"70";"40";"75";".";".";".";".";"490";"280";"90";"130";"1.7";"7457";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"11";"0";".";".";"1";"4487"
"De Wetbuurt";"Amsterdam";"Buurt";"BU03635506";"3";"1860";"865";"995";"315";"170";"435";"535";"410";"1045";"520";"175";"125";"245";"320";"75";"15";"80";"25";"125";".";".";".";".";"915";"450";"195";"280";"1.9";"6716";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"28";"1";".";".";"1";"3302"
"Tuindorp Frankendael";"Amsterdam";"Buurt";"BU03635507";"3";"2475";"1255";"1215";"295";"280";"795";"610";"505";"1505";"545";"290";"145";"350";"645";"175";"35";"190";"50";"200";".";".";".";".";"1465";"945";"280";"250";"1.6";"6866";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"36";"36";"0";".";".";"1";"3555"
